ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
AX-SPA1504MIC REMATE	0	PE00000009
AX-SPA151AU OF	0	PE00000005
AX-SPA153UDI OF	0	PE00000005
AX-WF15AUES OF	0	PE00000005
OPTIMUS1504	0	PE00000009
AX-SPA1504B	0	PE00000009
AX-SPA1504B REMATE	0	PE00000009
XPS 2.0 60 DJ SET	0	PE00000010
AX-SPA804B	0	PE00000009
AX-SPA804BLT REMATE	0	PE00000005
SPA-K510BLT	0	PE00000005
SPA-K512UR	0	PE00000005
QX-7004-6P4C	0	PE00000005
QX-7004-8P8C	0	PE00000005
QX-7027-6P4C	0	PE00000005
TDI-A2	0	PE00000012
DI PLUS	0	PE00000035
DI MAX	0	PE00000035
TDI-P1	0	PE00000012
BL2	0	PE00000014
PE3	0	PE00000014
PE6	0	PE00000014
PE4	0	PE00000014
AX-SP1004	0	PE00000005
GMI-1031 OF	0	PE00000005
AX-SP1204	0	PE00000005
GMI-312 OF	0	PE00000005
GMI-1246	0	PE00000003
AX-SP126	0	PE00000009
AX-SP126 REMATE	0	PE00000005
AX-WF215	0	PE00000005
AX-WF215 REMATE	0	PE00000005
AX-WD1215	0	PE00000005
AX-WD1215 REMATE	0	PE00000005
GMI-2216	0	PE00000003
GMI-2216 REMATE	0	PE00000005
TPS115NEO-MKII	0	PE00000012
TPS215NEO-MKII	0	PE00000012
PVX 15	0	PE00000018
AX-SP1504	0	PE00000005
AX-SP156	0	PE00000005
AX-WD115	0	PE00000005
AX-WF15	0	PE00000005
AX-WX1570P OF	0	PE00000005
OPTIMUS1504 PASSIVE	0	PE00000009
GMI-1556	0	PE00000003
GMI-1556 REMATE	0	PE00000005
SPA-543WH	0	PE00000009
SPA-543BK	0	PE00000009
SPA-550WH	0	PE00000009
SPA-550BK	0	PE00000009
SPA-551WH	0	PE00000005
SPA-551BK	0	PE00000005
SPA-565WH	0	PE00000009
SPA-565BK	0	PE00000009
SPA-650WH	0	PE00000009
SPA-650BK	0	PE00000009
SPA-651WH	0	PE00000005
SPA-651BK	0	PE00000005
AX-SP804	0	PE00000005
TAP-20T	0	PE00000012
TAP-40T	0	PE00000012
DPE 215	0	PE00000018
KS215	0	PE00000012
DPE-115	0	PE00000018
IMPULSE 5C WHITE	0	PE00000018
KS15	0	PE00000012
PV115	0	PE00000018
SOHO V8 BK	0	PE00000012
PB-8333WH	0	PE00000005
REP-BOX-GD014	0	PE00000005
HCAJ3AWA	0	PE00000016
SCAJ100NT-LB	0	PE00000016
HCAJ100NT	0	PE00000016
SCAJ100BR-NT	0	PE00000016
HCAJ1NT	0	PE00000016
HCAJ3NT	0	PE00000016
HCAJ1MH-M	0	PE00000016
