ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
PAL007B CLD	0	PE00000056
PAL007C CLD	0	PE00000056
PAL008 CLD	0	PE00000056
KD-20	0	PE00000005
KD-41W	0	PE00000005
KD-31W	0	PE00000005
HV-G89W-BL	0	PE00000017
HV-G89W-RD	0	PE00000017
KD-21U	0	PE00000005
HV-G85BL	0	PE00000017
HV-G60	0	PE00000017
HV-G85RD	0	PE00000017
HV-G82BL	0	PE00000017
HV-G82RD	0	PE00000017
HV-G85RD 3-EN-1	0	PE00000017
KD-301	0	PE00000005
KD-201	0	PE00000005
TA02	0	PE00000015
TA04CR	0	PE00000015
TA04BK	0	PE00000015
GWC-15	0	PE00000014
LCDRHT	0	PE00000020
TS1/2	0	PE00000016
TS3/8	0	PE00000016
TS5/16	0	PE00000016
TS7/16	0	PE00000016
VG-TB-1	0	PE00000014
COW1NT	0	PE00000016
COW1BK	0	PE00000016
COW2	0	PE00000016
COW1	0	PE00000016
HTT8BK	0	PE00000016
CTA2S-BK	0	PE00000016
CTA2WB	0	PE00000016
HTMT2BK	0	PE00000016
FJS2S-BK	0	PE00000016
DP917YW	0	PE00000014
DP917BL	0	PE00000014
DP917BK	0	PE00000014
DP917RD	0	PE00000014
818 YEL	0	PE00000011
818 BLU	0	PE00000011
818 BLK	0	PE00000011
818 RED	0	PE00000011
REP-BT2000-PANEL	0	PE00000009
TPS-MB1509	0	PE00000005
TPS-MB2518	0	PE00000005
REP-PANEL SBA16	0	PE00000005
XS-M16A	0	PE00000005
PPOP FILTER200	0	PE00000012
REP-KR-DISPLAY	0	PE00000025
BL-1602	0	PE00000005
EVP-MS100	0	PE00000005
EVP-ES72	0	PE00000005
EVP-MS72	0	PE00000005
6516 OF	0	PE00000035
DHDC-10 OF	0	PE00000014
STC-10	0	PE00000014
HHEAD10 OF	0	PE00000016
CC10	0	PE00000022
CCPD10	0	PE00000022
HF10	0	PE00000022
CCSN10	0	PE00000022
HPSN10	0	PE00000022
MODII-10	0	PE00000022
PF10	0	PE00000022
PFPD10	0	PE00000022
SX10	0	PE00000022
SXPD10	0	PE00000022
TCRSP2-10	0	PE00000022
DH-10T/3	0	PE00000014
SEC-10	0	PE00000014
STC-12	0	PE00000014
HHEAD12C OF	0	PE00000016
CC12	0	PE00000022
CCPD12	0	PE00000022
HF12	0	PE00000022
CCSN12	0	PE00000022
HPSN12	0	PE00000022
MODII-12	0	PE00000022
PF12	0	PE00000022
PFPD12	0	PE00000022
SX12	0	PE00000022
SXPD12	0	PE00000022
TCRSP2-12	0	PE00000022
LDH(TR)-12	0	PE00000014
SEC-12	0	PE00000014
DHC-13WA/2 OF	0	PE00000014
STC-13	0	PE00000014
DHDC-13 OF	0	PE00000014
DHOC-13C/1 OF	0	PE00000014
CC13	0	PE00000022
CCPD13	0	PE00000022
HF13	0	PE00000022
MODII-13	0	PE00000022
PF13	0	PE00000022
PFPD13	0	PE00000022
SX13	0	PE00000022
SXPD13	0	PE00000022
TCRSP2-13	0	PE00000022
DH-13T/3 OF	0	PE00000014
SEC-13	0	PE00000014
DHC-14BW/2	0	PE00000014
LDH(CW)-14	0	PE00000014
DHC-14W/1	0	PE00000014
LDH(WH)-14	0	PE00000014
DHC-14WA/2	0	PE00000014
STC-14	0	PE00000014
HE14	0	PE00000022
HIP14W	0	PE00000022
VEL14	0	PE00000022
CCSN14	0	PE00000022
HPSN14	0	PE00000022
TCSX14	0	PE00000022
TCSXPD14	0	PE00000022
TCPD14	0	PE00000022
TRP14	0	PE00000022
CC14	0	PE00000022
CCPD14	0	PE00000022
HF14	0	PE00000022
MODII-14	0	PE00000022
PF14	0	PE00000022
PFPD14	0	PE00000022
SX14	0	PE00000022
SXPD14	0	PE00000022
TCRSP2-14	0	PE00000022
SEC-14	0	PE00000014
LDH(WH)-15	0	PE00000014
DHC-15WA/2	0	PE00000014
