ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
810	0	\\192.168.10.27\Documentos_SAP\Anexos	LLA-1250B-9V	jpg	Y	LLA-1250B-9V OF
811	0	\\192.168.10.27\Documentos_SAP\Anexos	SC08-USB	jpg	Y	SC08-USB OF
812	0	\\192.168.10.27\Documentos_SAP\Anexos	KD-215 - (06-17)_768x960	jpg	Y	KD-215
812	1	\\192.168.10.27\Documentos_SAP\Anexos	KD-215(2) - (06-17)_768x960	jpg	Y	KD-215
813	0	\\192.168.10.27\Documentos_SAP\Anexos	PA-300C - (11-20)	jpg	Y	PA-300C
813	1	\\192.168.10.27\Documentos_SAP\Anexos	PA-300C(1-2) - (11-20)	jpg	Y	PA-300C
813	2	\\192.168.10.27\Documentos_SAP\Anexos	PA-300C(1-3) - (11-20)	jpg	Y	PA-300C
813	3	\\192.168.10.27\Documentos_SAP\Anexos	PA-300C(7) - (11-20)	jpg	Y	PA-300C
815	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1800(1)	jpg	Y	AD-1800 OF
816	0	\\192.168.10.27\Documentos_SAP\Anexos	LLAS2500	jpg	Y	LLAS2500 OF
817	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-121S	jpg	Y	AD-121S
817	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-121S(2)	jpg	Y	AD-121S
818	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-077	jpg	Y	TJ-077 OF
819	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-122S	jpg	Y	AD-122S
819	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-122S(2)	jpg	Y	AD-122S
820	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-241S	jpg	Y	AD-241S
820	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-241S(2)	jpg	Y	AD-241S
821	0	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUT03	jpg	Y	AD-IPUT03 OF
822	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-051S	jpg	Y	AD-051S
822	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-051S(2)	jpg	Y	AD-051S
