ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
1000MF-200V PCB	1	60	
1000MF-25V	250	12000	
1000MF-35V	200	5000	
1000MF-50V	200	5000	
1000MF-63V	100	500	
1000MF-80V PCB OF	1	100	
1009	12	793	
100AAAHC-U2 CLA	28	28	
100MF-100V	250	2500	
100MF-100V CLA	1	1	
100MF-160V	200	3000	
100MF-160V CLA	1	1	
100MF-16V	1000	6000	
100MF-200V	100	1500	
100MF-250V	100	1000	
100MF-25V	1000	8000	
100MF-350V	50	100	
100MF-35V	1000	7000	
100MF-450V	50	300	
100MF-50V	500	20000	
100MF-50V CLA	1	1	
100MF-63V CLA	1	1	
101 C-16	1	1	
101 HH-14	1	1	
1010	12	100	
1011	12	150	
1016	12	136	
1017	1	20	
102-50V	1000	1000	
103-50V	1000	6000	
104-15FH	50	400	
104-15MH	100	800	
104-50V	1000	10000	
1048C	1	4	
104J-250V (POL)	500	3500	
104J-400V	1	1000	
10MF-100V	1000	2500	
10MF-160V	500	1500	
10MF-16V	1000	6000	
10MF-200V	400	800	
10MF-250V	250	1000	
10MF-250V CLA	1	1	
10MF-25V	1000	3000	
10MF-350V CLA	1	1	
10MF-35V	1000	2000	
10MF-400V	250	800	
10MF-450V	200	1500	
10MF-50V	1000	9000	
10MFD-250V	50	400	
10MI4	1	1	
10W-0.1 OHM	50	250	
10W-0.22 OHM	50	250	
10W-0.33 OHM	50	250	
10W-0.47 OHM	50	200	
10W-0.5 OHM	50	250	
10W-0.68 OHM	50	250	
10W-1 OHM	50	100	
10W-1.2K	50	100	
10W-1.5 OHM	50	250	
10W-10 OHM	250	2000	
10W-100 OHM	50	150	
10W-12 OHM	50	250	
10W-120 OHM	50	250	
10W-15 OHM	50	200	
10W-150 OHM	50	250	
10W-18 OHM	50	250	
10W-180 OHM	50	250	
10W-2.2 OHM	50	200	
10W-2.7 OHM	50	100	
10W-20 OHM	50	250	
10W-20 OHM CLA	1	1	
10W-200 OHM	50	100	
10W-22 OHM	50	250	
10W-220 OHM	50	250	
10W-27 OHM	50	250	
10W-3.3 OHM	50	250	
10W-3.9 OHM	50	250	
10W-30 OHM	50	250	
10W-33 OHM	50	250	
10W-330 OHM	50	250	
10W-39 OHM	50	250	
10W-4.7 OHM	50	200	
10W-47 OHM	50	150	
10W-470 OHM	50	100	
10W-5.1 OHM	50	250	
10W-5.6 OHM	50	250	
10W-56 OHM	50	100	
10W-6.2 OHM	50	100	
10W-6.8 OHM	50	250	
10W-62 OHM	50	200	
10W-68 OHM	50	250	
10W-7.5 OHM	50	250	
10W-8.2 OHM	50	250	
10W-82 OHM	50	250	
1124	6	50	
1126	1	20	
113-198C	1	20	
113-241C	20	500	
1130MX CLA	1	1	
1136	1	20	
1146	1	20	
11N65 CLD	1	1	
11N80 CLD	1	1	
12 CRASH CYMBAL PAD	1	1	
1224	1	20	
1232	6	130	
1242	1	20	
1248HC	1	4	
1252	1	20	
1265C	4	4	
1265CA	1	4	
1290C	1	4	
1290C REMATE	1	4	
12MI	1	1	
12N60A4D CLD	1	25	
13ER-8Y24 CLA	1	1	
1420F	1	100	
14RB-100E	1	4	
14RB-ExMT	1	1	
15000MF-100V PCB	1	1	
1500MF-16V	250	1000	
1504B-AMP	1	1	
1504R-AMP	1	1	
150MF-200V PCB	1	100	
150MF-400V PCB	1	50	
154-064G CLA	1	1	
154-177B CLA	1	50	
154-375A CLA	1	50	
154-375C CLA	1	1	
154-375D CLA	1	1	
154-380C CLA	1	1	
1565HC	1	1	
1590HC	1	1	
1590HC REMATE	1	1	
15AUP-U2 CLA	1	10	
15ER-252 CLA	1	1	
15FV4	1	1	
15G-P10	1	1	
15HP1060 OF	1	1	
15HP1060 OF REMATE	1	1	
15MI	1	1	
15MI REMATE	1	1	
15W-1 OHM	50	125	
15W-15 OHM	25	300	
15W-20 OHM	25	150	
