ItemCode	PurchasePackagingUnit	SalesUnit
2SB557	UNIDAD	UNIDAD
2SB560	UNIDAD	UNIDAD
2SB562	UNIDAD	UNIDAD
2SB595	UNIDAD	UNIDAD
2SB596	UNIDAD	UNIDAD
2SB631 CLD	UNIDAD	UNIDAD
2SB632 CLD	UNIDAD	UNIDAD
2SB642	UNIDAD	UNIDAD
2SB647	UNIDAD	UNIDAD
2SB647 CLD	UNIDAD	UNIDAD
2SB649 CLD	UNIDAD	UNIDAD
2SB688 CLD	UNIDAD	UNIDAD
2SB772 CLD	UNIDAD	UNIDAD
2SB817C CLD	UNIDAD	UNIDAD
2SB827	UNIDAD	UNIDAD
2SB828	UNIDAD	UNIDAD
2SB834 CLD	UNIDAD	UNIDAD
2SB857	UNIDAD	UNIDAD
2SB880	UNIDAD	UNIDAD
2SB882	UNIDAD	UNIDAD
2SB892 CLD	UNIDAD	UNIDAD
2SB950	UNIDAD	UNIDAD
2SC1008	UNIDAD	UNIDAD
2SC1025	UNIDAD	UNIDAD
2SC1051	UNIDAD	UNIDAD
2SC1061 CLD	UNIDAD	UNIDAD
2SC1096	UNIDAD	UNIDAD
2SC1098	UNIDAD	UNIDAD
2SC114	UNIDAD	UNIDAD
2SC1161	UNIDAD	UNIDAD
2SC1162 CLD	UNIDAD	UNIDAD
2SC1170A	UNIDAD	UNIDAD
2SC1172B CLD	UNIDAD	UNIDAD
2SC1213	UNIDAD	UNIDAD
2SC124	UNIDAD	UNIDAD
2SC1308	UNIDAD	UNIDAD
2SC1384 CLD	UNIDAD	UNIDAD
2SC1413 HIT	UNIDAD	UNIDAD
2SC1454	UNIDAD	UNIDAD
2SC1473	UNIDAD	UNIDAD
2SC1507 CLD	UNIDAD	UNIDAD
2SC1509	UNIDAD	UNIDAD
2SC1569	UNIDAD	UNIDAD
2SC1573 CLD	UNIDAD	UNIDAD
2SC1577	UNIDAD	UNIDAD
2SC1583	UNIDAD	UNIDAD
2SC1617	UNIDAD	UNIDAD
2SC1619A	UNIDAD	UNIDAD
2SC1623	UNIDAD	UNIDAD
2SC1629A	UNIDAD	UNIDAD
2SC1652	UNIDAD	UNIDAD
2SC1664	UNIDAD	UNIDAD
2SC1756	UNIDAD	UNIDAD
2SC1810	UNIDAD	UNIDAD
2SC1815 CLD	UNIDAD	UNIDAD
2SC1827	UNIDAD	UNIDAD
2SC1828	UNIDAD	UNIDAD
2SC1841	UNIDAD	UNIDAD
2SC1842	UNIDAD	UNIDAD
2SC1846	UNIDAD	UNIDAD
2SC1875	UNIDAD	UNIDAD
2SC1890	UNIDAD	UNIDAD
2SC1906	UNIDAD	UNIDAD
2SC1923	UNIDAD	UNIDAD
2SC1941 CLD	UNIDAD	UNIDAD
2SC1942	UNIDAD	UNIDAD
2SC1971	UNIDAD	UNIDAD
2SC1985	UNIDAD	UNIDAD
2SC2001	UNIDAD	UNIDAD
2SC2026 CLD	UNIDAD	UNIDAD
2SC2026K CLD	UNIDAD	UNIDAD
2SC2073 CLD	UNIDAD	UNIDAD
2SC2092	UNIDAD	UNIDAD
2SC2120	UNIDAD	UNIDAD
2SC2230 CLD	UNIDAD	UNIDAD
2SC2233	UNIDAD	UNIDAD
2SC2233 CLD	UNIDAD	UNIDAD
2SC2330 CLD	UNIDAD	UNIDAD
2SC2331	UNIDAD	UNIDAD
2SC2365	UNIDAD	UNIDAD
2SC2383 CLD	UNIDAD	UNIDAD
2SC2458	UNIDAD	UNIDAD
2SC2482 CLD	UNIDAD	UNIDAD
2SC2500 CLD	UNIDAD	UNIDAD
2SC2570	UNIDAD	UNIDAD
2SC2578 CLD	UNIDAD	UNIDAD
2SC2580 CLD	UNIDAD	UNIDAD
2SC2581 CLD	UNIDAD	UNIDAD
2SC2581 SEMI-CLD	UNIDAD	UNIDAD
2SC2611 CLD	UNIDAD	UNIDAD
2SC2655Y CLD	UNIDAD	UNIDAD
2SC2688 CLD	UNIDAD	UNIDAD
2SC2752	UNIDAD	UNIDAD
2SC2898	UNIDAD	UNIDAD
2SC2921	UNIDAD	UNIDAD
2SC3039 CLD	UNIDAD	UNIDAD
2SC3153 CLD	UNIDAD	UNIDAD
2SC3153 CLD-RMV	UNIDAD	UNIDAD
2SC3198	UNIDAD	UNIDAD
2SC3199 CLD	UNIDAD	UNIDAD
2SC3203	UNIDAD	UNIDAD
2SC3205 CLD	UNIDAD	UNIDAD
2SC3207 CLD	UNIDAD	UNIDAD
2SC3209 CLD	UNIDAD	UNIDAD
2SC3229 CLD	UNIDAD	UNIDAD
2SC3263 CLD	UNIDAD	UNIDAD
2SC3271	UNIDAD	UNIDAD
