ParentKey	LineNum	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufactureDate	ReceptionDate	WarrantyStart	WarrantyEnd	Location	Notes	BatchID	SystemSerialNumber	BaseLineNumber	Quantity	TrackingNote	TrackingNoteLine	ItemCode
DocNum	LineNum	MnfSerial	DistNumber	ExpDate	MnfDate	InDate	GrntStart	GrntExp	Location	Notes	LotNumber	SysNumber	DocLineNum	Quantity	TrackingNt	TrackiNtLn	ItemCode
5		ADA-000037	ADA-000037		20201031	20201031				MAX 115			0	1			MAX 115
5		ADA-000048	ADA-000048		20201031	20201031				AC-50 STAGEMAN			1	1			AC-50 STAGEMAN
5		ADA-000069	ADA-000069		20201031	20201031				CM15R US DB			2	1			CM15R US DB
5		ADA-000156	ADA-000156		20201031	20201031				CM15R US DR			3	1			CM15R US DR
5		ADA-000178	ADA-000178		20201031	20201031				MIGHTY 15SE			4	1			MIGHTY 15SE
5		ADA-000182	ADA-000182		20201031	20201031				MIGHTY 30SE			5	1			MIGHTY 30SE
5		ADA-000197	ADA-000197		20201031	20201031				KICKSTART30			6	1			KICKSTART30
5		ADA-000205	ADA-000205		20201031	20201031				BANDIT 112			7	1			BANDIT 112
5		ADA-000206	ADA-000206		20201031	20201031				VYPYR VIP1			8	1			VYPYR VIP1
5		ADA-000207	ADA-000207		20201031	20201031				VYPYR VIP1			8	1			VYPYR VIP1
5		ADA-000323	ADA-000323		20201031	20201031				GE30B			9	1			GE30B
5		ADA-000344	ADA-000344		20201031	20201031				PVI8500			10	1			PVI8500
5		AUD-000200	AUD-000200		20201031	20201031				HDP DJ M40.1			11	1			HDP DJ M40.1
5		BAJ-000080	BAJ-000080		20201031	20201031				ACTION PJ OPW			12	1			ACTION PJ OPW
5		BAJ-000090	BAJ-000090		20201031	20201031				ACTION DLX PLUS CRS			13	1			ACTION DLX PLUS CRS
5		BAJ-000106	BAJ-000106		20201031	20201031				ACTION BASS PLUS TR			14	1			ACTION BASS PLUS TR
5		BAJ-000116	BAJ-000116		20201031	20201031				A4 ULTRA RWAS W/CASE			15	1			A4 ULTRA RWAS W/CASE
5		BAJ-000292	BAJ-000292		20201031	20201031				B5 PLUS AS OPN			16	1			B5 PLUS AS OPN
5		BAJ-000312	BAJ-000312		20201031	20201031				C5 PLUS ZBMH OTAB			17	1			C5 PLUS ZBMH OTAB
5		BAJ-000313	BAJ-000313		20201031	20201031				C5 PLUS ZBMH OTAB			17	1			C5 PLUS ZBMH OTAB
5		BAJ-000325	BAJ-000325		20201031	20201031				GB34A WS			18	1			GB34A WS
5		BAT-000011	BAT-000011		20201031	20201031				CSD500			19	1			CSD500
5		CAB-000001	CAB-000001		20201031	20201031				QUBE300 NT OF			20	1			QUBE300 NT OF
5		CAJACT-000001	CAJACT-000001		20201031	20201031				PD15U_PSS-912			21	1			PD15U_PSS-912
5		CAJACT-000002	CAJACT-000002		20201031	20201031				PD15U_PSS-912			21	1			PD15U_PSS-912
5		CAJACT-000104	CAJACT-000104		20201031	20201031				AVANTI15A_SB-16			22	1			AVANTI15A_SB-16
5		CAJACT-000165	CAJACT-000165		20201031	20201031				TAP40A BK			23	1			TAP40A BK
5		CAJACT-000219	CAJACT-000219		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000220	CAJACT-000220		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000221	CAJACT-000221		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000222	CAJACT-000222		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000223	CAJACT-000223		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000224	CAJACT-000224		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000225	CAJACT-000225		20201031	20201031				ALTEA-415A			24	1			ALTEA-415A
5		CAJACT-000227	CAJACT-000227		20201031	20201031				DM115			25	1			DM115
5		CAJACT-000239	CAJACT-000239		20201031	20201031				DPE 4P USLC			26	1			DPE 4P USLC
5		CAJACT-000305	CAJACT-000305		20201031	20201031				RBN112 ENCLOSURE			27	1			RBN112 ENCLOSURE
5		CAJACT-000378	CAJACT-000378		20201031	20201031				X15A-MP			28	1			X15A-MP
5		CAJACT-000379	CAJACT-000379		20201031	20201031				X15A-MP			28	1			X15A-MP
5		CAJACT-000380	CAJACT-000380		20201031	20201031				KR-7812R			29	1			KR-7812R
5		CAJACT-000381	CAJACT-000381		20201031	20201031				KR-7812R			29	1			KR-7812R
5		CAJACT-000382	CAJACT-000382		20201031	20201031				KR-41BL OF			30	1			KR-41BL OF
5		CAJACT-000383	CAJACT-000383		20201031	20201031				KR-41BL OF			30	1			KR-41BL OF
5		CAJACT-000384	CAJACT-000384		20201031	20201031				KR-41BL OF			30	1			KR-41BL OF
5		CAJACT-000385	CAJACT-000385		20201031	20201031				KR-41BL OF			30	1			KR-41BL OF
5		CAJACT-000386	CAJACT-000386		20201031	20201031				KR-41RD OF			31	1			KR-41RD OF
5		CAJACT-000387	CAJACT-000387		20201031	20201031				KR-41RD OF			31	1			KR-41RD OF
5		CAJACT-000388	CAJACT-000388		20201031	20201031				KR-61RD OF			32	1			KR-61RD OF
5		CAJACT-000389	CAJACT-000389		20201031	20201031				KR-61BL OF			33	1			KR-61BL OF
5		CAJACT-000390	CAJACT-000390		20201031	20201031				KR-61BL OF			33	1			KR-61BL OF
5		CAJACT-000391	CAJACT-000391		20201031	20201031				KR-61BL OF			33	1			KR-61BL OF
5		CAJACT-000392	CAJACT-000392		20201031	20201031				KR-61BL OF			33	1			KR-61BL OF
5		CAJACT-000393	CAJACT-000393		20201031	20201031				KR-62BK OF			34	1			KR-62BK OF
5		CAJACT-000421	CAJACT-000421		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000422	CAJACT-000422		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000423	CAJACT-000423		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000424	CAJACT-000424		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000425	CAJACT-000425		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000426	CAJACT-000426		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000427	CAJACT-000427		20201031	20201031				DELTA15			35	1			DELTA15
5		CAJACT-000433	CAJACT-000433		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000434	CAJACT-000434		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000435	CAJACT-000435		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000436	CAJACT-000436		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000437	CAJACT-000437		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000438	CAJACT-000438		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000439	CAJACT-000439		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000440	CAJACT-000440		20201031	20201031				KR-152LW			36	1			KR-152LW
5		CAJACT-000441	CAJACT-000441		20201031	20201031				KR-151L REMATE			37	1			KR-151L REMATE
5		CAJACT-000442	CAJACT-000442		20201031	20201031				KR-151L REMATE			37	1			KR-151L REMATE
5		CAJACT-000443	CAJACT-000443		20201031	20201031				KR-152B			38	1			KR-152B
5		CAJACT-000444	CAJACT-000444		20201031	20201031				KR-152B			38	1			KR-152B
5		CAJACT-000445	CAJACT-000445		20201031	20201031				KR-152B			38	1			KR-152B
5		CAJACT-000446	CAJACT-000446		20201031	20201031				KR-152B			38	1			KR-152B
5		CAJACT-000558	CAJACT-000558		20201031	20201031				SIGMA156Y			39	1			SIGMA156Y
5		CAJACT-000559	CAJACT-000559		20201031	20201031				SIGMA156Y			39	1			SIGMA156Y
5		CAJACT-000560	CAJACT-000560		20201031	20201031				SIGMA156Y			39	1			SIGMA156Y
