ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
EV-630BK	0.32	KG	0.32	KG	0.32	KG
LLE-316-3	0.668	KG	0.668	KG	0.668	KG
LLE-315	0.9	KG	0.9	KG	0.9	KG
LLE-800	1.6	KG	1.6	KG	1.6	KG
EV-2L31	0.8	KG	0.8	KG	0.8	KG
EV-2L2U-WH	0.4	KG	0.4	KG	0.4	KG
EV-2L2U-BK	0.4	KG	0.4	KG	0.4	KG
EV-3L2U-BK	0.6	KG	0.6	KG	0.6	KG
EV-3L32	1	KG	1	KG	1	KG
AR-2000	13.77	KG	13.77	KG	13.77	KG
AR-3000	13.68	KG	13.68	KG	13.68	KG
AR-5000	17.273	KG	17.273	KG	17.273	KG
AVR-1001	5.6	KG	5.6	KG	5.6	KG
SVC-1000	4.625	KG	4.625	KG	4.625	KG
69BS1K LIQUIDACION	4.625	KG	4.625	KG	4.625	KG
SVC-1500	5.4	KG	5.4	KG	5.4	KG
LLD1500WYT	8.26	KG	8.26	KG	8.26	KG
SVC-2000	10	KG	10	KG	10	KG
LLD2000WYT	7.65	KG	7.65	KG	7.65	KG
SVC-3000	10.75	KG	10.75	KG	10.75	KG
LLD3000RYT	15	KG	15	KG	15	KG
SVC-5000	16.5	KG	16.5	KG	16.5	KG
EVR-1008	1.45	KG	1.45	KG	1.45	KG
TY12-110	0.175	KG	0.175	KG	0.175	KG
TY12-112	0.236	KG	0.236	KG	0.236	KG
TY12-115	0.361	KG	0.361	KG	0.361	KG
TY12-118	0.58	KG	0.58	KG	0.58	KG
TS-1362	0.045	KG	0.045	KG	0.045	KG
FG-120	0.032	KG	0.032	KG	0.032	KG
TY12-16	0.073	KG	0.073	KG	0.073	KG
TY12-16.5	0.087	KG	0.087	KG	0.087	KG
TS-1762	0.075	KG	0.075	KG	0.075	KG
TS-6962	0.115	KG	0.115	KG	0.115	KG
TY12-18	0.114	KG	0.114	KG	0.114	KG
REP-REJ-DJS	0.5	KG	0.5	KG	0.5	KG
REP-JQC3F-12V	0.5	KG	0.5	KG	0.5	KG
RH-012C	0.0105	KG	0.0105	KG	0.0105	KG
SH-212DM3	0.1	KG	0.1	KG	0.1	KG
OMI-212L	0.018	KG	0.018	KG	0.018	KG
REP-JQC3F-24V	0.5	KG	0.5	KG	0.5	KG
RH-024C	0.011	KG	0.011	KG	0.011	KG
OMI-224L	0.0175	KG	0.0175	KG	0.0175	KG
OST-148DM	0.337	KG	0.337	KG	0.337	KG
OMIT-148DM	0.437	KG	0.437	KG	0.437	KG
RH-005C	0.012	KG	0.012	KG	0.012	KG
REP-JZX-18FF	0.5	KG	0.5	KG	0.5	KG
REP-MY2NJ	0.5	KG	0.5	KG	0.5	KG
FY1210	0.149	KG	0.149	KG	0.149	KG
REP-6220BTR	0.5	KG	0.5	KG	0.5	KG
REP-4220BTR	0.5	KG	0.5	KG	0.5	KG
REP-5228BTR	0.5	KG	0.5	KG	0.5	KG
YW-5	0.158	KG	0.158	KG	0.158	KG
YW-5L BLUETOOTH	0.15	KG	0.15	KG	0.15	KG
UP-313 OF	0.6	KG	0.6	KG	0.6	KG
YW-2-AFM	0.2	KG	0.2	KG	0.2	KG
REP-5226BTR	0.5	KG	0.5	KG	0.5	KG
REP-HE00408	0.5	KG	0.5	KG	0.5	KG
REP-MP3-PD15U	0.5	KG	0.5	KG	0.5	KG
REP-LCD2226	0.5	KG	0.5	KG	0.5	KG
REP-MP3-4220	0.5	KG	0.5	KG	0.5	KG
REP-MP3-AXPRO	0.5	KG	0.5	KG	0.5	KG
REP-KR4/6-MP3	0.5	KG	0.5	KG	0.5	KG
REP-MP3-DJ302BT	0.5	KG	0.5	KG	0.5	KG
REP-KA901-BLT	0.5	KG	0.5	KG	0.5	KG
REP-MP3/BLT-KR151	0.5	KG	0.5	KG	0.5	KG
REP-MP3/BLT-KR152	0.5	KG	0.5	KG	0.5	KG
REP-MP3/BLT-KR78	0.5	KG	0.5	KG	0.5	KG
REP-MP3-SIGMA	0.5	KG	0.5	KG	0.5	KG
REP-MP3/BLT-K510	0.5	KG	0.5	KG	0.5	KG
REP-MP3/BLT-K512?	0.5	KG	0.5	KG	0.5	KG
REP-MP3-740B	0.5	KG	0.5	KG	0.5	KG
2226B	0.094	KG	0.094	KG	0.094	KG
2228BTR	0.114	KG	0.114	KG	0.114	KG
1504B-AMP	1.5	KG	1.5	KG	1.5	KG
1504R-AMP	1.5	KG	1.5	KG	1.5	KG
22MM DRIVE	1	KG	1	KG	1	KG
4220BTR	1	KG	1	KG	1	KG
5226BTR	1	KG	1	KG	1	KG
5228BTR	1	KG	1	KG	1	KG
6220BTR	1	KG	1	KG	1	KG
ALFA15 ECO AMP	1.5	KG	1.5	KG	1.5	KG
REP-20-5	1	KG	1	KG	1	KG
SRL-AMP	1.5	KG	1.5	KG	1.5	KG
REP-SP-M8Spro	0.4	KG	0.4	KG	0.4	KG
REP-SP-MX_	0.4	KG	0.4	KG	0.4	KG
REP-SP-V88	0.4	KG	0.4	KG	0.4	KG
GD-441VC	0.038	KG	0.038	KG	0.038	KG
GD-341VC	0.035	KG	0.035	KG	0.035	KG
VC-109	0.8	KG	0.8	KG	0.8	KG
GD-007VC	0.098	KG	0.098	KG	0.098	KG
GD-012VC	0.011	KG	0.011	KG	0.011	KG
GD-014VC	0.037	KG	0.037	KG	0.037	KG
KT-508	0.242	KG	0.242	KG	0.242	KG
SPD-155VC	0.103	KG	0.103	KG	0.103	KG
SPD-25VC	0.031	KG	0.031	KG	0.031	KG
G-88-51-11NK	0.019	KG	0.019	KG	0.019	KG
TIRA (HY-FK-3)	0.015	KG	0.015	KG	0.015	KG
GP-307VC	0.001	KG	0.001	KG	0.001	KG
SPT-244VC	0.015	KG	0.015	KG	0.015	KG
SPT-247VC	0.06	KG	0.06	KG	0.06	KG
1/2W-0.22 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-0.33 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-0.47 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-1 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-1.2K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-1.8K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-10 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-100 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-100K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-10K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-10MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-12 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-120 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-120K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-12K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-15 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-150 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-150K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-15K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-18 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-180 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-180K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-18K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-1K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-1MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-2.2 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-2.2K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-2.2MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-2.7 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-2.7K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-20 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-200 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-200K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-22 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-220 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-220K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-22K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-240 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-250 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-26 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-27 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-270 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-27K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-3.3 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-3.3K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-3.3MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-3.9 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-3.9K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-30 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-30K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-33 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-330 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-330K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-33K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-36 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-39 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-390 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-390K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-39K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-4.7 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-4.7K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-47 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-470 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-470K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-47K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-5.1 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-5.1K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-5.6 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-5.6K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-51 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-56 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-560 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-560K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-56K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-6.8 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-6.8K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-62 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-68 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-680 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-680K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-68K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-7.5 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-7.5K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-75 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-750 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-8.2 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-8.2K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-82 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-820 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-820K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-82K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-4.7MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-6.8MG	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-620 OHM	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-62K	0.00031	KG	0.00031	KG	0.00031	KG
1/2W-9.1 OHM	0.00031	KG	0.00031	KG	0.00031	KG
10W-0.1 OHM	0.012	KG	0.012	KG	0.012	KG
10W-0.22 OHM	0.012	KG	0.012	KG	0.012	KG
10W-0.33 OHM	0.012	KG	0.012	KG	0.012	KG
10W-0.47 OHM	0.012	KG	0.012	KG	0.012	KG
10W-0.5 OHM	0.012	KG	0.012	KG	0.012	KG
10W-0.68 OHM	0.012	KG	0.012	KG	0.012	KG
10W-1 OHM	0.012	KG	0.012	KG	0.012	KG
10W-10 OHM	0.012	KG	0.012	KG	0.012	KG
10W-100 OHM	0.012	KG	0.012	KG	0.012	KG
10W-120 OHM	0.012	KG	0.012	KG	0.012	KG
10W-15 OHM	0.012	KG	0.012	KG	0.012	KG
10W-18 OHM	0.012	KG	0.012	KG	0.012	KG
10W-180 OHM	0.012	KG	0.012	KG	0.012	KG
10W-2.2 OHM	0.012	KG	0.012	KG	0.012	KG
10W-2.7 OHM	0.012	KG	0.012	KG	0.012	KG
10W-20 OHM	0.012	KG	0.012	KG	0.012	KG
10W-22 OHM	0.012	KG	0.012	KG	0.012	KG
10W-220 OHM	0.012	KG	0.012	KG	0.012	KG
10W-27 OHM	0.012	KG	0.012	KG	0.012	KG
10W-3.3 OHM	0.012	KG	0.012	KG	0.012	KG
10W-3.9 OHM	0.012	KG	0.012	KG	0.012	KG
10W-30 OHM	0.012	KG	0.012	KG	0.012	KG
10W-330 OHM	0.012	KG	0.012	KG	0.012	KG
10W-4.7 OHM	0.012	KG	0.012	KG	0.012	KG
10W-47 OHM	0.012	KG	0.012	KG	0.012	KG
10W-5.1 OHM	0.012	KG	0.012	KG	0.012	KG
10W-5.6 OHM	0.012	KG	0.012	KG	0.012	KG
10W-6.2 OHM	0.012	KG	0.012	KG	0.012	KG
10W-6.8 OHM	0.012	KG	0.012	KG	0.012	KG
10W-62 OHM	0.012	KG	0.012	KG	0.012	KG
10W-68 OHM	0.012	KG	0.012	KG	0.012	KG
10W-8.2 OHM	0.012	KG	0.012	KG	0.012	KG
15W-15 OHM	0.016	KG	0.016	KG	0.016	KG
15W-20 OHM	0.016	KG	0.016	KG	0.016	KG
15W-5 OHM	0.016	KG	0.016	KG	0.016	KG
20W-10 OHM	0.022	KG	0.022	KG	0.022	KG
20W-12 OHM	0.022	KG	0.022	KG	0.022	KG
20W-15 OHM	0.022	KG	0.022	KG	0.022	KG
20W-2.2 OHM	0.022	KG	0.022	KG	0.022	KG
20W-20 OHM	0.022	KG	0.022	KG	0.022	KG
20W-220 OHM	0.022	KG	0.022	KG	0.022	KG
20W-3.3 OHM	0.022	KG	0.022	KG	0.022	KG
20W-47 OHM	0.022	KG	0.022	KG	0.022	KG
20W-5 OHM	0.022	KG	0.022	KG	0.022	KG
20W-7.5 OHM	0.022	KG	0.022	KG	0.022	KG
20W-8.2 OHM	0.022	KG	0.022	KG	0.022	KG
5W-0.22 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-0.33 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-0.47 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-0.5 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-0.68 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-1 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-1.5 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-1.8 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-10 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-100 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-12 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-120 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-15 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-180 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-1K	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-2.2 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-2.7 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-20 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-22 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-220 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-270 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-3.3 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
5W-3.9 OHM	0.0044603	KG	0.0044603	KG	0.0044603	KG
