ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
QX-4849HQ	0.04	KG	0.04	KG	0.04	KG
QX-4848HQ	0.034	KG	0.034	KG	0.034	KG
QX-2516	0.0133	KG	0.0133	KG	0.0133	KG
PL-179	0.0133	KG	0.0133	KG	0.0133	KG
QX-4205	0.015	KG	0.015	KG	0.015	KG
QX-1099	0.0113	KG	0.0113	KG	0.0113	KG
PRCA-120 OF	0.055	KG	0.055	KG	0.055	KG
PL-2014	0.03	KG	0.03	KG	0.03	KG
QX-1215A	0.007	KG	0.007	KG	0.007	KG
PL-1814	0.068	KG	0.068	KG	0.068	KG
RF2C-BG	0.056	KG	0.056	KG	0.056	KG
RF2C-NN	0.055	KG	0.055	KG	0.055	KG
RF2C-NG	0.0215	KG	0.0215	KG	0.0215	KG
QX-1238A	0.0064	KG	0.0064	KG	0.0064	KG
PL-1812	0.068	KG	0.068	KG	0.068	KG
PL-1813	0.032	KG	0.032	KG	0.032	KG
PL-2015	0.032	KG	0.032	KG	0.032	KG
QX-1215B	0.007	KG	0.007	KG	0.007	KG
QX-1252	0.0213	KG	0.0213	KG	0.0213	KG
PL-181M	0.01	KG	0.01	KG	0.01	KG
PL-181PYE	0.0063	KG	0.0063	KG	0.0063	KG
PL-181PWH	0.0063	KG	0.0063	KG	0.0063	KG
QX-1201	0.002	KG	0.002	KG	0.002	KG
QX-1209	0.033	KG	0.033	KG	0.033	KG
PL-194S OF	0.055	KG	0.055	KG	0.055	KG
PL-196S OF	0.055	KG	0.055	KG	0.055	KG
8P8C-CAT6	0.0027	KG	0.0027	KG	0.0027	KG
8P8C-CAT6S	0.0026	KG	0.0026	KG	0.0026	KG
QX-7021-4P4C	0.001	KG	0.001	KG	0.001	KG
QX-7021-6P4C	0.000615385	KG	0.000615385	KG	0.000615385	KG
QX-7021-6P6C	0.001083333	KG	0.001083333	KG	0.001083333	KG
QX-7021-8P8C	0.001666667	KG	0.001666667	KG	0.001666667	KG
ASB-USB4P	0.005	KG	0.005	KG	0.005	KG
PHWT	0.0181	KG	0.0181	KG	0.0181	KG
PHBK	0.02	KG	0.02	KG	0.02	KG
QX-4650	0.06	KG	0.06	KG	0.06	KG
HY1.4651-14	0.06	KG	0.06	KG	0.06	KG
HY1.4651-16	0.068	KG	0.068	KG	0.068	KG
FH-643	0.22857	KG	0.22857	KG	0.22857	KG
GFU-148	0.04	KG	0.04	KG	0.04	KG
FH-212	0.055	KG	0.055	KG	0.055	KG
N5-C	0.1	KG	0.1	KG	0.1	KG
FH-012	0.091	KG	0.091	KG	0.091	KG
D-9037	0.008	KG	0.008	KG	0.008	KG
D-9036	0.005	KG	0.005	KG	0.005	KG
BH-CR2032-2	0.001	KG	0.001	KG	0.001	KG
QX-4304C	0.008	KG	0.008	KG	0.008	KG
QX-4314C	0.0054	KG	0.0054	KG	0.0054	KG
HY1.4309B	0.011	KG	0.011	KG	0.011	KG
A010A	0.01	KG	0.01	KG	0.01	KG
PICK-C1	0.01	KG	0.01	KG	0.01	KG
PX-G2000 OF	13	KG	13	KG	13	KG
PX-G4000 OF	15	KG	15	KG	15	KG
CS4000 120V	19.8	KG	19.8	KG	19.8	KG
CS6000 120V	21	KG	21	KG	21	KG
PVI1000	17.5	KG	17.5	KG	17.5	KG
PVI2000	17.5	KG	17.5	KG	17.5	KG
PVI2500	17.5	KG	17.5	KG	17.5	KG
PVI3000	17.5	KG	17.5	KG	17.5	KG
TRX1500	16.75	KG	16.75	KG	16.75	KG
TRX2500	18.9	KG	18.9	KG	18.9	KG
TRX4000	22.63	KG	22.63	KG	22.63	KG
TRX5000	38.4	KG	38.4	KG	38.4	KG
TRX500	20	KG	20	KG	20	KG
TRX6000	39.4	KG	39.4	KG	39.4	KG
REP-POT-BAOFENG	0.01	KG	0.01	KG	0.01	KG
PQ12RF1	0.002	KG	0.002	KG	0.002	KG
PQ12RF11	0.002	KG	0.002	KG	0.002	KG
PQ12RF21	0.002	KG	0.002	KG	0.002	KG
REP-PRE2-DELTA	0.08	KG	0.08	KG	0.08	KG
REP-PRE1-DELTA	0.08	KG	0.08	KG	0.08	KG
REP-PRE-OMEGA	0.08	KG	0.08	KG	0.08	KG
REP-D15AA-2	2	KG	2	KG	2	KG
REP-D15AA-1	2	KG	2	KG	2	KG
REP-52705	2	KG	2	KG	2	KG
REP-PRE-1504B	2	KG	2	KG	2	KG
FY-1206E	0.109	KG	0.109	KG	0.109	KG
TLT-NT007	0.158	KG	0.158	KG	0.158	KG
MT-7068	0.56	KG	0.56	KG	0.56	KG
MT-1206	0.246	KG	0.246	KG	0.246	KG
HY-DB-5800	0.044	KG	0.044	KG	0.044	KG
HY-SZ-6A	0.023	KG	0.023	KG	0.023	KG
GK7	0.112	KG	0.112	KG	0.112	KG
HY-251454CT	0.091	KG	0.091	KG	0.091	KG
DLM808	6.9	KG	6.9	KG	6.9	KG
DIGITOOL LIVE 120US	6.63	KG	6.63	KG	6.63	KG
PROTECT-RF	0.146	KG	0.146	KG	0.146	KG
BX-V009	0.19	KG	0.19	KG	0.19	KG
BX-V010-120V	0.203	KG	0.203	KG	0.203	KG
BX-V010-220V	0.206	KG	0.206	KG	0.206	KG
ST4	0.0227	KG	0.0227	KG	0.0227	KG
CC-901YE	0.045	KG	0.045	KG	0.045	KG
CC-901BL	0.045	KG	0.045	KG	0.045	KG
CC-901RD	0.045	KG	0.045	KG	0.045	KG
PEC-102	0.088	KG	0.088	KG	0.088	KG
WB-102	0.1	KG	0.1	KG	0.1	KG
WB-801	0.054	KG	0.054	KG	0.054	KG
WB-104-3	0.313	KG	0.313	KG	0.313	KG
WB-104	0.406	KG	0.406	KG	0.406	KG
WB-106	0.589	KG	0.589	KG	0.589	KG
PRO350W REMATE	2.273	KG	2.273	KG	2.273	KG
PUBLICIDAD ALFA	0.008	KG	0.008	KG	0.008	KG
PUBLICIDAD MEINL	0.008	KG	0.008	KG	0.008	KG
PUBLICIDAD SIGMA156	0.008	KG	0.008	KG	0.008	KG
REP-PUNT001	1	KG	1	KG	1	KG
REP-PUNT002	1	KG	1	KG	1	KG
BR-ACTION-A OF	0.5	KG	0.5	KG	0.5	KG
BR-GB34A OF	0.5	KG	0.5	KG	0.5	KG
BR-ACTION V-DLX OF	0.5	KG	0.5	KG	0.5	KG
BB01 OF	0.5	KG	0.5	KG	0.5	KG
BB02 OF	0.5	KG	0.5	KG	0.5	KG
BB07 OF	0.5	KG	0.5	KG	0.5	KG
BB08 OF	0.5	KG	0.5	KG	0.5	KG
BB15 OF	0.5	KG	0.5	KG	0.5	KG
BB16 OF	0.5	KG	0.5	KG	0.5	KG
BM01 OF	0.5	KG	0.5	KG	0.5	KG
BN01 OF	0.5	KG	0.5	KG	0.5	KG
BN02 OF	0.5	KG	0.5	KG	0.5	KG
BN03 OF	0.5	KG	0.5	KG	0.5	KG
BN04 OF	0.5	KG	0.5	KG	0.5	KG
BM06	0.125	KG	0.125	KG	0.125	KG
VBM-4/4	0.005	KG	0.005	KG	0.005	KG
BR-G250	0.38	KG	0.38	KG	0.38	KG
6506	0.085	KG	0.085	KG	0.085	KG
SW-732RD	0.004	KG	0.004	KG	0.004	KG
ZD-152	0.029	KG	0.029	KG	0.029	KG
44A OF	0.01	KG	0.01	KG	0.01	KG
44C OF	0.01	KG	0.01	KG	0.01	KG
44D OF	0.01	KG	0.01	KG	0.01	KG
TIP-3040	0.013	KG	0.013	KG	0.013	KG
TIP-60	0.002	KG	0.002	KG	0.002	KG
TS-821	0.073333333	KG	0.073333333	KG	0.073333333	KG
5PK-356-G2	0.03	KG	0.03	KG	0.03	KG
5PK-356-G1	0.03	KG	0.03	KG	0.03	KG
TS-821xUnd	0.014666667	KG	0.014666667	KG	0.014666667	KG
I50B142	0.01	KG	0.01	KG	0.01	KG
TS-042T	0.03	KG	0.03	KG	0.03	KG
TS-847X5	0.03	KG	0.03	KG	0.03	KG
TS-847XUND	0.03	KG	0.03	KG	0.03	KG
HY-TIP40	0.007	KG	0.007	KG	0.007	KG
TD-115	0.116666667	KG	0.116666667	KG	0.116666667	KG
TD-117	0.11	KG	0.11	KG	0.11	KG
TD-311	0.11	KG	0.11	KG	0.11	KG
TL-102	0.051	KG	0.051	KG	0.051	KG
I66B930	0.009	KG	0.009	KG	0.009	KG
I66B890TL	0.01	KG	0.01	KG	0.01	KG
MCC11AF	17	KG	17	KG	17	KG
MCC11LB	17	KG	17	KG	17	KG
MCC11CB	17	KG	17	KG	17	KG
MEC11NT-G	17	KG	17	KG	17	KG
TMS-235	9.75	KG	9.75	KG	9.75	KG
DLC-9010	3	KG	3	KG	3	KG
DDC-9017	6	KG	6	KG	6	KG
AVH-185DVD	7	KG	7	KG	7	KG
AVH-A205BT	5.14	KG	5.14	KG	5.14	KG
RM-3017BT	1	KG	1	KG	1	KG
MVH-285BT	0.9	KG	0.9	KG	0.9	KG
MVH-85UB	0.9	KG	0.9	KG	0.9	KG
MVH-295BT	1	KG	1	KG	1	KG
DEH-S1050UB	1.38	KG	1.38	KG	1.38	KG
RM-2008BT	0.734	KG	0.734	KG	0.734	KG
RM-2018BT	0.75	KG	0.75	KG	0.75	KG
UV-5R	0.451	KG	0.451	KG	0.451	KG
UV-82	0.49	KG	0.49	KG	0.49	KG
BF-888S	0.258	KG	0.258	KG	0.258	KG
MGS2	0.0907	KG	0.0907	KG	0.0907	KG
BT-AUDIO	0.022	KG	0.022	KG	0.022	KG
KRX	0.07	KG	0.07	KG	0.07	KG
REP-RC-ATVI8	0.005	KG	0.005	KG	0.005	KG
REP-RECIP-F1200-F150	0.6	KG	0.6	KG	0.6	KG
REP-RECIP-F-900	0.6	KG	0.6	KG	0.6	KG
MSC-1412/ABS	5	KG	5	KG	5	KG
SDC-600BL	2.5	KG	2.5	KG	2.5	KG
SDC-600RD	2.5	KG	2.5	KG	2.5	KG
SDC-603BK	3.2	KG	3.2	KG	3.2	KG
LSN-303	3	KG	3	KG	3	KG
QX-2939B OF	0.02	KG	0.02	KG	0.02	KG
REP-RULE-DETECTOR	0.1	KG	0.1	KG	0.1	KG
LLE-811D	1.9	KG	1.9	KG	1.9	KG
LLE800D	3.055	KG	3.055	KG	3.055	KG
HV-A304U-WH	0.32	KG	0.32	KG	0.32	KG
EV-3R4U-WH	0.4	KG	0.4	KG	0.4	KG
EV-316-1.5	0.29	KG	0.29	KG	0.29	KG
LLE-316-1.5	0.509	KG	0.509	KG	0.509	KG
EV-615WH	0.26	KG	0.26	KG	0.26	KG
EV-615BK	0.26	KG	0.26	KG	0.26	KG
EV-316-3	0.42	KG	0.42	KG	0.42	KG
EV-630WH	0.32	KG	0.32	KG	0.32	KG
