ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
2SA949	0.02	KG	0.02	KG	0.02	KG
2SA965 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1015 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1020	0.02	KG	0.02	KG	0.02	KG
2SB1050	0.02	KG	0.02	KG	0.02	KG
2SB1068	0.02	KG	0.02	KG	0.02	KG
2SB1203S	0.02	KG	0.02	KG	0.02	KG
2SB1237	0.02	KG	0.02	KG	0.02	KG
2SB1241	0.02	KG	0.02	KG	0.02	KG
2SB1243	0.02	KG	0.02	KG	0.02	KG
2SB1274	0.02	KG	0.02	KG	0.02	KG
2SB1274 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1344	0.02	KG	0.02	KG	0.02	KG
2SB1370 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1370PI CLD	0.02	KG	0.02	KG	0.02	KG
2SB1374	0.02	KG	0.02	KG	0.02	KG
2SB1375 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1560	0.02	KG	0.02	KG	0.02	KG
2SB1565	0.02	KG	0.02	KG	0.02	KG
2SB1565 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1566	0.02	KG	0.02	KG	0.02	KG
2SB1568	0.02	KG	0.02	KG	0.02	KG
2SB1587	0.02	KG	0.02	KG	0.02	KG
2SB1588 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1624 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1626	0.02	KG	0.02	KG	0.02	KG
2SB1649 CLD	0.02	KG	0.02	KG	0.02	KG
2SB1655	0.02	KG	0.02	KG	0.02	KG
2SB1686 CLD	0.02	KG	0.02	KG	0.02	KG
2SB337	0.02	KG	0.02	KG	0.02	KG
2SB407	0.02	KG	0.02	KG	0.02	KG
2SB468	0.02	KG	0.02	KG	0.02	KG
2SB481	0.02	KG	0.02	KG	0.02	KG
2SB507	0.02	KG	0.02	KG	0.02	KG
2SB507 CLD	0.02	KG	0.02	KG	0.02	KG
2SB511 CLD	0.02	KG	0.02	KG	0.02	KG
2SB546	0.02	KG	0.02	KG	0.02	KG
2SB553	0.02	KG	0.02	KG	0.02	KG
2SB557	0.02	KG	0.02	KG	0.02	KG
2SB560	0.02	KG	0.02	KG	0.02	KG
2SB562	0.02	KG	0.02	KG	0.02	KG
2SB595	0.02	KG	0.02	KG	0.02	KG
2SB596	0.02	KG	0.02	KG	0.02	KG
2SB631 CLD	0.02	KG	0.02	KG	0.02	KG
2SB632 CLD	0.02	KG	0.02	KG	0.02	KG
2SB642	0.02	KG	0.02	KG	0.02	KG
2SB647	0.02	KG	0.02	KG	0.02	KG
2SB647 CLD	0.02	KG	0.02	KG	0.02	KG
2SB649 CLD	0.02	KG	0.02	KG	0.02	KG
2SB688 CLD	0.02	KG	0.02	KG	0.02	KG
2SB772 CLD	0.02	KG	0.02	KG	0.02	KG
2SB817C CLD	0.02	KG	0.02	KG	0.02	KG
2SB827	0.02	KG	0.02	KG	0.02	KG
2SB828	0.02	KG	0.02	KG	0.02	KG
2SB834 CLD	0.02	KG	0.02	KG	0.02	KG
2SB857	0.02	KG	0.02	KG	0.02	KG
2SB880	0.02	KG	0.02	KG	0.02	KG
2SB882	0.02	KG	0.02	KG	0.02	KG
2SB892 CLD	0.02	KG	0.02	KG	0.02	KG
2SB950	0.02	KG	0.02	KG	0.02	KG
2SC1008	0.02	KG	0.02	KG	0.02	KG
2SC1025	0.02	KG	0.02	KG	0.02	KG
2SC1051	0.02	KG	0.02	KG	0.02	KG
2SC1061 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1096	0.02	KG	0.02	KG	0.02	KG
2SC1098	0.02	KG	0.02	KG	0.02	KG
2SC114	0.02	KG	0.02	KG	0.02	KG
2SC1161	0.02	KG	0.02	KG	0.02	KG
2SC1162 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1170A	0.02	KG	0.02	KG	0.02	KG
2SC1172B CLD	0.02	KG	0.02	KG	0.02	KG
2SC1213	0.02	KG	0.02	KG	0.02	KG
2SC124	0.02	KG	0.02	KG	0.02	KG
2SC1308	0.02	KG	0.02	KG	0.02	KG
2SC1384 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1413 HIT	0.02	KG	0.02	KG	0.02	KG
2SC1454	0.02	KG	0.02	KG	0.02	KG
2SC1473	0.02	KG	0.02	KG	0.02	KG
2SC1507 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1509	0.02	KG	0.02	KG	0.02	KG
2SC1569	0.02	KG	0.02	KG	0.02	KG
2SC1573 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1577	0.02	KG	0.02	KG	0.02	KG
2SC1583	0.02	KG	0.02	KG	0.02	KG
2SC1617	0.02	KG	0.02	KG	0.02	KG
2SC1619A	0.02	KG	0.02	KG	0.02	KG
2SC1623	0.02	KG	0.02	KG	0.02	KG
2SC1629A	0.02	KG	0.02	KG	0.02	KG
2SC1652	0.02	KG	0.02	KG	0.02	KG
2SC1664	0.02	KG	0.02	KG	0.02	KG
2SC1756	0.02	KG	0.02	KG	0.02	KG
2SC1810	0.02	KG	0.02	KG	0.02	KG
2SC1815 CLD	0.02	KG	0.02	KG	0.02	KG
2SC1827	0.02	KG	0.02	KG	0.02	KG
2SC1828	0.02	KG	0.02	KG	0.02	KG
2SC1841	0.02	KG	0.02	KG	0.02	KG
2SC1842	0.02	KG	0.02	KG	0.02	KG
